path,ext,loc,commits,churn,decisions,issues,issue_detail,owner,owner_pct,authors,origin,risk
src/modules/task-management/page.tsx,tsx,4129,25,11906,339,6,eslint_disable=5;use_client=1,Chaitanya2872,98,2,authored,78.8
src/modules/purchases/p2p/pr/page.tsx,tsx,2973,6,6099,266,2,eslint_disable=2,Chaitanya2872,100,1,authored,53.8
src/modules/purchases/p2p/vendors/page.tsx,tsx,2240,7,5373,218,4,eslint_disable=2;nonnull=2,Chaitanya2872,100,1,authored,44.3
backend/services/task-service/src/main/java/com/hirepath/task/tasks/service/TaskService.java,java,2191,12,2790,278,1,broad_catch=1,Chaitanya2872,100,1,copied:hirepath,43.2
src/modules/purchases/p2p/po/page.tsx,tsx,2262,25,6683,132,0,,Vaishnavi Nerella,65,2,authored,37.3
src/modules/crm/leads/page.tsx,tsx,1489,20,10032,114,1,use_client=1,Chaitanya2872,100,1,authored,34.3
backend/postgresql-all-services-schema.sql,sql,1497,2,1496,265,0,,Chaitanya2872,100,1,authored,34.1
src/modules/project-management/pages/MeetingsPage.tsx,tsx,1878,6,3807,95,0,,Vaishnavi Nerella,96,2,authored,27.7
src/modules/sales/page.tsx,tsx,1845,11,2420,72,3,use_client=1;nonnull=2,Chaitanya2872,100,2,authored,25.9
src/modules/project-management/components/ProjectForm.tsx,tsx,1181,9,4536,84,0,,Chaitanya2872,50,3,authored,21.9
src/modules/sales/orders/components.tsx,tsx,1737,10,1862,52,1,use_client=1,Chaitanya2872,99,2,authored,21.5
backend/services/crm-service/src/main/java/com/fawnix/crm/integrations/whatsapp/WhatsappQuestionnaireService.java,java,824,5,871,135,5,broad_catch=5,Chaitanya2872,100,1,authored,21.2
src/modules/sales/orders/page.tsx,tsx,831,15,6283,44,4,eslint_disable=3;use_client=1,Chaitanya2872,98,2,authored,20.7
src/modules/users/page.tsx,tsx,1238,15,4358,50,0,,Vaishnavi Nerella,60,2,authored,19.7
src/modules/visitor management/services/visitorRequestService.ts,ts,394,3,451,112,12,console=12,Vaishnavi Nerella,100,1,copied:vms,19.7
src/modules/inventory/page.tsx,tsx,1213,13,4416,39,1,use_client=1,Chaitanya2872,84,2,authored,19.3
src/modules/recruitment/ApplicationFormBuilderPage.tsx,tsx,767,2,768,79,7,any=7,Ravi-Shankar-ACS,100,1,authored,17.7
backend/services/sales-service/src/main/java/com/fawnix/sales/orders/service/SalesOrderService.java,java,941,2,992,103,0,,Chaitanya2872,100,1,authored,16.8
backend/services/crm-service/src/main/java/com/fawnix/crm/leads/service/LeadService.java,java,880,12,981,109,0,,Chaitanya2872,100,1,authored,16.7
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/controller/RecruitmentController.java,java,781,3,1032,98,2,broad_catch=2,Ravi-Shankar-ACS,100,1,copied:hirepath,16.4
src/modules/recruitment/CandidateProfilePage.tsx,tsx,509,2,528,70,10,any=9;nonnull=1,Ravi-Shankar-ACS,100,1,authored,16.4
backend/services/approval-service/src/main/java/com/hirepath/approval/service/ApprovalRequestService.java,java,566,1,565,121,1,broad_catch=1,Ravi-Shankar-ACS,100,1,copied:hirepath,15.1
src/modules/crm/leads/components/LeadDetailPanel.tsx,tsx,902,9,1565,72,0,,Chaitanya2872,100,1,authored,14.9
src/modules/project-management/page.tsx,tsx,702,6,3689,58,0,,Praveen,59,2,authored,14.9
